column_name,mode_percent
number_of_offers_received,0.3634238389714219
commercial_item_acquisition_procedures_code,0.634047245069423
commercial_item_acquisition_procedures,0.6339644571195988
small_business_competitiveness_demonstration_program,0.9962071658601108
simplified_procedures_for_certain_commercial_items_code,0.986631376358442
simplified_procedures_for_certain_commercial_items,0.9856677419455444
a76_fair_act_action_code,0.9968657037464808
a76_fair_act_action,0.9966088898880378
fed_biz_opps_code,0.5469043884167285
fed_biz_opps,0.5469028560632806
local_area_set_aside_code,0.9976157698923844
local_area_set_aside,0.9974108634445144
price_evaluation_adjustment_preference_percent_difference,0.850117310968719
clinger_cohen_act_planning_code,0.9451951847110698
clinger_cohen_act_planning,0.9471349230425838
materials_supplies_articles_equipment_code,0.6208841099575463
materials_supplies_articles_equipment,0.6217502853037629
labor_standards_code,0.7907448031568391
labor_standards,0.7908560202299431
construction_wage_rate_requirements_code,0.879747666488836
construction_wage_rate_requirements,0.8798895824026737
interagency_contracting_authority_code,0.9942257691017722
interagency_contracting_authority,0.9943471028794526
other_statutory_authority,0.4652585942295887
program_acronym,0.3699664429530201
parent_award_type_code,0.7840567787843825
parent_award_type,0.7840686540975002
parent_award_single_or_multiple_code,0.8557859537283268
parent_award_single_or_multiple,0.8559293973513165
major_program,0.3305144070382555
national_interest_action_code,0.5323635393033498
national_interest_action,0.3489031660589222
cost_or_pricing_data_code,0.906018958048453
cost_or_pricing_data,0.9070841912358374
cost_accounting_standards_clause_code,0.9666072757295606
cost_accounting_standards_clause,0.9667053518962628
government_furnished_property_code,0.9792066161629672
government_furnished_property,0.9782626252446566
sea_transportation_code,0.4953009658222497
sea_transportation,0.4962638747094728
undefinitized_action_code,0.9953599983030204
undefinitized_action,0.9952004669433752
consolidated_contract_code,0.9566470084380932
consolidated_contract,0.9566581514594245
performance_based_service_acquisition_code,0.8165952567197792
performance_based_service_acquisition,0.8151997266243661
multi_year_contract_code,0.9558765231378804
multi_year_contract,0.95595044930303
contract_financing_code,0.9828725232325264
contract_financing,0.98504389336579
purchase_card_as_payment_method_code,0.990130728097652
purchase_card_as_payment_method,0.9901550846454362
contingency_humanitarian_or_peacekeeping_operation_code,0.9925291739969389
contingency_humanitarian_or_peacekeeping_operation,0.9926661248431952
alaskan_native_corporation_owned_firm,0.9418375994791998
american_indian_owned_business,0.988676145269943
indian_tribe_federally_recognized,0.9964573948908512
native_hawaiian_organization_owned_firm,0.997433621897186
tribally_owned_firm,0.9960001695748876
veteran_owned_business,0.9461794838654086
service_disabled_veteran_owned_business,0.960861235477404
woman_owned_business,0.907429537594855
women_owned_small_business,0.9264321872297518
economically_disadvantaged_women_owned_small_business,0.9818267656839602
joint_venture_women_owned_small_business,0.9976791423320372
joint_venture_economic_disadvantaged_women_owned_small_bus,0.9985053743801112
minority_owned_business,0.8661781084761836
subcontinent_asian_asian_indian_american_owned_business,0.9874288045785616
asian_pacific_american_owned_business,0.9796568291718464
black_american_owned_business,0.9834744933333516
hispanic_american_owned_business,0.9728869484011364
native_american_owned_business,0.937469502781622
