contingency_humanitarian_or_peacekeeping_operation,144312
alaskan_native_corporation_owned_firm,2371
american_indian_owned_business,2654
indian_tribe_federally_recognized,2267
native_hawaiian_organization_owned_firm,2261
tribally_owned_firm,1466
veteran_owned_business,1462
service_disabled_veteran_owned_business,1014
woman_owned_business,1011
women_owned_small_business,519
economically_disadvantaged_women_owned_small_business,512
joint_venture_women_owned_small_business,754
joint_venture_economic_disadvantaged_women_owned_small_bus,752
minority_owned_business,468
subcontinent_asian_asian_indian_american_owned_business,468
asian_pacific_american_owned_business,397
black_american_owned_business,396
hispanic_american_owned_business,402
native_american_owned_business,404
other_minority_owned_business,393
contracting_officers_determination_of_business_size,410
contracting_officers_determination_of_business_size_code,741
emerging_small_business,724
community_developed_corporation_owned_firm,396
labor_surplus_area_firm,396
us_federal_government,388
federally_funded_research_and_development_corp,388
federal_agency,388
us_state_government,387
us_local_government,391
city_local_government,391
county_local_government,387
inter_municipal_local_government,387
local_government_owned,386
municipality_local_government,386
school_district_local_government,386
township_local_government,386
us_tribal_government,387
foreign_government,387
organizational_type,41222
corporate_entity_not_tax_exempt,398
corporate_entity_tax_exempt,431
partnership_or_limited_liability_partnership,389
sole_proprietorship,395
small_agricultural_cooperative,386
international_organization,391
us_government_entity,386
community_development_corporation,398
domestic_shelter,386
educational_institution,386
foundation,386
hospital_flag,391
manufacturer_of_goods,386
veterinary_hospital,386
hispanic_servicing_institution,386
receives_contracts,386
receives_financial_assistance,386
receives_contracts_and_financial_assistance,386
airport_authority,386
council_of_governments,386
housing_authorities_public_tribal,386
interstate_entity,386
planning_commission,386
port_authority,386
transit_authority,386
subchapter_scorporation,386
limited_liability_corporation,386
foreign_owned,387
for_profit_organization,386
nonprofit_organization,386
other_not_for_profit_organization,386
the_ability_one_program,386
private_university_or_college,386
state_controlled_institution_of_higher_learning,386
1862_land_grant_college,386
1890_land_grant_college,386
1994_land_grant_college,386
minority_institution,386
historically_black_college,386
tribal_college,387
alaskan_native_servicing_institution,404
native_hawaiian_servicing_institution,453
school_of_forestry,497
veterinary_college,523
dot_certified_disadvantage,540
self_certified_small_disadvantaged_business,556
small_disadvantaged_business,626
c8a_program_participant,918
historically_underutilized_business_zone_hubzone_firm,1729
sba_certified_8a_joint_venture,1772
highly_compensated_officer_1_name,4724040
highly_compensated_officer_1_amount,4724664
highly_compensated_officer_2_name,4751451
highly_compensated_officer_2_amount,4751672
highly_compensated_officer_3_name,4816869
highly_compensated_officer_3_amount,4816936
highly_compensated_officer_4_name,4814081
highly_compensated_officer_4_amount,4813827
highly_compensated_officer_5_name,4832719
highly_compensated_officer_5_amount,4832774
usaspending_permalink,25253
initial_report_date,25380
last_modified_date,12498
